cut fraction,time to solution (s)
0.847333333,0
0.842666667,0
0.858666667,0.015623093
0.84,0.015623093
0.842666667,0.015621185
0.844666667,0
0.853333333,0
0.854,0.015617609
0.854666667,0.015625238
0.854,0
0.839333333,0
0.860666667,0
0.850666667,0.015617847
0.862,0.015623331
0.854,0
0.846,0
0.842666667,0.015622854
0.858,0.015618801
0.840666667,0
0.847333333,0
0.851333333,0
0.834,0
0.848,0.01562047
0.842,0.01563549
0.854666667,0
0.847333333,0
0.840666667,0.015617609
0.837333333,0.015620708
0.85,0
0.841333333,0.015616417
0.852,0
0.845333333,0
0.843333333,0
0.840666667,0
0.844,0.015620708
0.842666667,0.016657114
0.856666667,0
0.852,0
0.849333333,0.015621185
0.841333333,0.015626192
0.836,0
0.844666667,0
0.850666667,0
0.852666667,0
0.856666667,0.01711297
0.840666667,0.015664339
0.858666667,0.015621424
0.847333333,0
0.851333333,0
0.852,0
0.844666667,0.015621662
0.84,0
0.852,0.015616655
0.851333333,0.015625
0.855333333,0
0.848666667,0
0.841333333,0.01562953
0.853333333,0.015617371
0.854,0.015616417
0.854666667,0.016766071
